T [MeV]	muB [MeV]	nB/T^3
175	440	0.5980010556051556
175	450	0.6168796887519774
175	460	0.6360624159480966
175	470	0.6555464497679002
175	480	0.6753277200376345
175	490	0.6954008463181429
175	500	0.7157591566955072
175	510	0.736394793187152
175	520	0.7572989669105208
175	530	0.778462456565575
175	540	0.7998764817735992
175	550	0.8215341193702101
175	560	0.8434324466879373
175	570	0.8655755464254388
175	580	0.887978319431024
175	590	0.9106706314350714
175	600	0.9337006224383535
175	605	0.9453625031969373
175	610	0.9571351818486893
175	615	0.9690291690411253
175	620	0.9810551750765288
175	625	0.9932235876494734
175	630	1.0055438830679722
180	0	0.
180	10	0.011110337911679142
180	20	0.022230039305867668
180	30	0.03336845010701796
180	40	0.04453488056869048
180	50	0.05573858606388732
180	60	0.06698874626528699
180	70	0.07829444225696754
180	80	0.08966463121141531
180	90	0.1011081184089885
180	100	0.11263352659982559
180	110	0.12424926301367639
180	120	0.135963484744455
180	130	0.14778406376502226
180	140	0.1597185534604135
180	150	0.17177415925064934
180	160	0.1839577165340187
180	170	0.19627567968543674
180	180	0.2087341260117945
180	190	0.22133877821569445
180	200	0.23409504786326268
180	210	0.24700810051179495
180	220	0.26008294056842823
180	230	0.2733245109205984
180	240	0.28673779935736093
180	250	0.3003279414594717
180	260	0.3141003085623073
180	270	0.32806057010206646
180	280	0.3422147221601883
180	290	0.3565690779706232
180	300	0.3711302208307718
180	310	0.38590492427049317
180	320	0.40090004769380794
180	330	0.4161224174379513
180	340	0.4315787032184358
180	350	0.4472752984570692
180	360	0.4632182106346177
180	370	0.47941296502786074
180	380	0.4958645226162507
180	390	0.512577210801504
180	400	0.5295546641205856
180	410	0.5467997712635209
180	420	0.5643146244605968
180	430	0.5821004675153449
180	440	0.600157639355087
180	450	0.6184855110503091
180	460	0.6370824159002996
180	470	0.6559455746480058
180	480	0.6750710220002417
180	490	0.694453546735509
180	500	0.7140866678466568
180	510	0.733962684454073
180	520	0.7540728602895514
180	530	0.7744078364811383
180	540	0.7949584090007669
180	550	0.8157168545942677
180	560	0.8366790223513669
180	570	0.857847383287324
180	580	0.87923506624214
180	590	0.900870489476595
180	600	0.9228014359011689
180	605	0.9338983966369513
180	610	0.9450964268810368
180	615	0.9564066579115111
180	620	0.967840583313761
180	625	0.9794095039423395
180	630	0.9911238873146487
185	0	0.
185	10	0.01146211305764001
185	20	0.022932091336616594
185	30	0.03441778552217771
185	40	0.04592701694175195
185	50	0.05746756218753042
185	60	0.06904713694623323
185	70	0.0806733788544422
185	80	0.09235382928229106
185	90	0.1040959140664067
185	100	0.11590692337912707
185	110	0.12779399113087242
185	120	0.13976407456937576
185	130	0.1518239350444851
185	140	0.16398012123989977
185	150	0.17623895649245463
185	160	0.1886065320650354
185	170	0.20108870834200518
185	180	0.21369112577629717
185	190	0.22641922696066138
185	200	0.23927829034422066
185	210	0.2522734749103477
185	220	0.2654098736077702
185	230	0.27869257174165823
185	240	0.29212670511875305
185	250	0.3057175118593835
185	260	0.3194703717064716
185	270	0.33339082751783156
185	280	0.34748458539330646
185	290	0.3617574922561982
185	300	0.37621549226072776
185	310	0.39086456565979233
185	320	0.4057106553245736
185	330	0.4207595867127997
185	340	0.4360169868219479
185	350	0.45148820657338784
185	360	0.4671782496173676
185	370	0.48309170887474145
185	380	0.4992327106404636
185	390	0.515604864846946
185	400	0.5322112192118607
185	410	0.5490542145313027
185	420	0.5661356381522465
185	430	0.5834565728384242
185	440	0.601017338568852
185	450	0.6188174255163575
185	460	0.6368554176342238
185	470	0.6551289082681038
185	480	0.6736344124345398
185	490	0.6923672858799823
185	500	0.7113216700401517
185	510	0.7304904961881729
185	520	0.7498656043519383
185	530	0.7694380651894822
185	540	0.7891988378674105
185	550	0.809139950626577
185	560	0.8292564377223619
185	570	0.8495492657709907
185	580	0.8700293504752376
185	590	0.8907223729419307
185	600	0.9116733290369525
185	605	0.9222654946167221
185	610	0.9329486481605582
185	615	0.9437338989844098
185	620	0.9546328433784386
185	625	0.9656570059474605
185	630	0.9768171810451328
190	0	0.
190	10	0.011732245225088075
190	20	0.02347114557293393
190	30	0.035223345261673714
190	40	0.0469954665765492
190	50	0.058794098606895266
190	60	0.07062578566372348
190	70	0.08249701533429098
190	80	0.09441420619085766
190	90	0.10638369525061407
190	100	0.11841172538778938
190	110	0.13050443302412987
190	120	0.1426678365710884
190	130	0.15490782625326038
190	140	0.1672301560937945
190	150	0.17964043896783072
190	160	0.19214414569011096
190	170	0.2047466090618155
190	180	0.21745303362319565
190	190	0.23026851149725552
190	200	0.2431980441710257
190	210	0.2562465693571777
190	220	0.269418991275928
190	230	0.2827202119312959
190	240	0.2961551603342137
190	250	0.30972881635699856
190	260	0.3234462260338811
190	270	0.337312505769735
190	280	0.35133283394887177
190	290	0.3655124297393749
190	300	0.3798565202201374
190	310	0.39437029805990276
190	320	0.4090588727197609
190	330	0.4239272183494455
190	340	0.43898012130618397
190	350	0.45422212957033736
190	360	0.46965750545827123
190	370	0.48529018208885544
190	380	0.5011237231782766
190	390	0.5171612849941606
190	400	0.5334055787990821
190	410	0.5498588317089481
190	420	0.5665227437819477
190	430	0.5833984391095717
190	440	0.6004864088735498
190	450	0.617786444701266
190	460	0.6352975614747178
190	470	0.6530179101724964
190	480	0.6709446838616919
190	490	0.6890740245067387
190	500	0.707400945832191
190	510	0.7259193001375158
190	520	0.7446218371171893
190	530	0.7635004336184538
190	540	0.7825466171734504
190	550	0.8017525624965484
190	560	0.8211127965918833
190	570	0.8406268688460251
190	580	0.8603031481139093
190	590	0.8801635637042082
190	600	0.9002483633165792
190	605	0.9103932513692043
190	610	0.9206188239656011
190	615	0.9309356349599757
190	620	0.9413548199805842
190	625	0.9518875615007338
190	630	0.96254444502235
195	0	0.
195	10	0.011930473090033804
195	20	0.0238665983812532
195	30	0.03581402061669284
195	40	0.047778369595094065
195	50	0.05976525263675525
195	60	0.07178024699844818
195	70	0.08382889225942308
195	80	0.0959166827368477
195	90	0.1080490600325963
195	100	0.12023140586842003
195	110	0.13246903542809937
195	120	0.14476719148916684
195	130	0.15713103969077455
195	140	0.1695656653320297
195	150	0.18207607212081528
195	160	0.1946671832732962
195	170	0.2073438452914893
195	180	0.2201108345977696
