T [MeV]	muB [MeV]	chi2B
100	580	0.27115792814225564
102	580	0.32698393501941275
104	580	0.39278135734037156
106	580	0.4668149760314747
108	580	0.5478177039862899
110	580	0.6463879008110748
112	580	0.8139771463744748
114	580	1.1250087828435693
116	580	1.4007029002758553
118	580	1.3156735476552965
120	580	1.0433633781085332
125	580	0.6184674391301117
130	580	0.49362975897036887
135	580	0.4582716661219262
140	580	0.44736480947266394
145	580	0.4416797625917087
150	580	0.4357558059537331
155	580	0.4285107226693283
160	580	0.420200519993836
165	580	0.41140186424720965
170	580	0.4026761635070043
100	590	0.3130180785769089
102	590	0.3787289472553994
104	590	0.45559305244962883
106	590	0.5414282859113674
108	590	0.6393407726377213
110	590	0.7867326380796128
112	590	1.1066557057445805
114	590	1.5688122163527438
116	590	1.5536662792006126
118	590	1.1633205516853957
120	590	0.8652099061705967
125	590	0.5736606353432137
130	590	0.4951725206442346
135	590	0.4702894456902362
140	590	0.4604429237327009
145	590	0.4535715418785518
150	590	0.44613384842721204
155	590	0.4375229580705824
160	590	0.42806961537151295
165	590	0.41832222842378125
170	590	0.408796937112813
100	600	0.36286946617978383
101	600	0.40022531464823197
102	600	0.4409966222422521
103	600	0.48488158301477785
104	600	0.5314761798178659
105	600	0.5805628591299327
106	600	0.6328067861085539
107	600	0.6912637431607881
108	600	0.7643838656443501
109	600	0.8710620904842542
110	600	1.0449949581303404
111	600	1.3214211613611688
112	600	1.6697799491312584
113	600	1.9133523710117384
114	600	1.8686984196950507
115	600	1.5992062100285918
116	600	1.2970734379946216
117	600	1.0626649422748113
118	600	0.9030513231412345
119	600	0.796897806222884
120	600	0.7244203012024032
125	600	0.5615123199409602
130	600	0.5067314004707466
135	600	0.4849579062826559
140	600	0.4740190925736328
100	605	0.3914137233488641
101	605	0.4323733382663989
102	605	0.4769883728986939
103	605	0.5248492724009185
104	605	0.5755207726270206
105	605	0.6290599185120266
106	605	0.6872460383258043
107	605	0.7562655860382677
108	605	0.8520281825144884
109	605	1.0081312941314307
110	605	1.2756514238501988
111	605	1.66927959328998
112	605	2.0278277650340684
113	605	2.0567110576877567
114	605	1.7468436942005003
115	605	1.3705397573783111
116	605	1.0905958932158963
117	605	0.9143734479919883
118	605	0.8059419463371753
119	605	0.735963537375554
120	605	0.6873496634381034
125	605	0.5639039339064971
130	605	0.514041685434339
135	605	0.4921838304763961
140	605	0.48041763234751744
100	610	0.4227848998123303
101	610	0.4678685714633322
102	610	0.5168557219201502
103	610	0.5692082302912422
104	610	0.6245286062905354
105	610	0.6835023371186273
106	610	0.7501431432517899
107	610	0.8367575246675525
108	610	0.9734633820058318
109	610	1.21838616979864
110	610	1.6298856082123385
111	610	2.105920264873741
112	610	2.2588865379952567
113	610	1.9236824709077263
114	610	1.4525618768513426
115	610	1.113952851895236
116	610	0.9195615165390778
117	610	0.8113384742226819
118	610	0.7464920057713367
119	610	0.7027816334474993
120	610	0.6698587669528593
125	610	0.5690349332722304
130	610	0.5211036383237233
135	610	0.49872185361447663
140	610	0.4862281498612321
100	615	0.4573592755177102
101	615	0.5072077686600702
102	615	0.5612133594695372
103	615	0.6186945365064749
104	615	0.6794598289692374
105	615	0.745571312256045
106	615	0.8256245069829554
107	615	0.9442778679650855
108	615	1.1586548332336164
109	615	1.558544026939833
110	615	2.1312875163068714
111	615	2.4618844489172624
112	615	2.139473764046759
113	615	1.550757369059229
114	615	1.1345186491367056
115	615	0.9189539611257479
116	615	0.8134788001202001
117	615	0.7564853016905956
118	615	0.7193983125442829
119	615	0.6906235383259713
120	615	0.6658280111908491
125	615	0.5746958868024268
130	615	0.526998445213309
135	615	0.5041199586808801
140	615	0.4912049931346987
100	620	0.49557387379261614
101	620	0.5509962331767576
102	620	0.6108333670459433
103	620	0.674271258259396
104	620	0.7417229735584818
105	620	0.818279893077912
106	620	0.9223072670897604
107	620	1.1041893398902718
108	620	1.4685874329313144
109	620	2.097303234199154
110	620	2.6446431676807105
111	620	2.404478372483642
112	620	1.6778846294852565
113	620	1.156754229613436
114	620	0.9143190185720024
115	620	0.8136435214507015
