T [MeV]	muB [MeV]	nB/T^3	s/T^3
155	240	0.22104402462124734	6.500482887317297
155	250	0.23468091570792174	6.596655701662898
155	260	0.24881850493641625	6.695824196600893
155	270	0.26345774767092645	6.797776708227288
155	280	0.2785962435765602	6.902291975825848
155	290	0.2942284987670196	7.009144814111223
155	300	0.31034630241063105	7.118112293150643
155	310	0.3269391955294374	7.228980065833554
155	320	0.34399500391795673	7.34154846733882
155	330	0.3615004039056279	7.455638031949198
155	340	0.3794414897926501	7.571094126764771
155	350	0.3978043143666652	7.687790479797197
155	360	0.4165753788555905	7.805631472688151
155	370	0.43574205478168726	7.924553162653618
155	380	0.45529292702094876	8.044523087030502
155	390	0.47521805360390545	8.165538969995144
155	400	0.4955091438425684	8.287626510475027
155	410	0.5161596602573775	8.410836450550233
155	420	0.537164853640172	8.535241143265587
155	430	0.5585217417339532	8.660930820477029
155	440	0.580229043208903	8.788009743502169
155	450	0.6022870781208091	8.916592416087996
155	460	0.6246976453048239	9.046799945931216
155	470	0.6474638857684397	9.178756687445768
155	480	0.6705901397362638	9.312587204439698
155	490	0.6940818034037601	9.448413596252642
155	500	0.7179451899764925	9.586353199514434
155	510	0.7421873983852062	9.726516661272859
155	520	0.7668161917336969	9.869006366259846
155	530	0.7918398868319148	10.013915192167854
155	540	0.8172672553014484	10.161325561362554
155	550	0.8431074362268073	10.311308754787085
155	560	0.8693698600089594	10.463924453270884
155	570	0.8960641826077249	10.619220472457467
155	580	0.9232002295386729	10.777232659619393
155	590	0.9507879485363567	10.937984923331172
155	600	0.9788373699478083	11.10148937001376
160	0	0.	5.962836955119362
160	10	0.008357016820830544	5.964655349179357
160	20	0.016732107701847954	5.970111194536079
160	30	0.025143417858022193	5.9792064254551684
160	40	0.03360923037235216	5.99194407976972
160	50	0.0421480239594972	6.008328014173602
160	60	0.050778517167299336	6.028362494969257
160	70	0.059519694324735875	6.052051655768603
160	80	0.06839080856503106	6.079398814315993
160	90	0.077411357489471	6.110405643572745
160	100	0.0866010275816225	6.1450711978728645
160	110	0.09597960445040185	6.183390803554827
160	120	0.10556684744131273	6.225354834940463
160	130	0.11538232912589885	6.2709474104225995
160	140	0.1254452426221662	6.320145058807504
160	150	0.13577418245913986	6.372915421481109
160	160	0.14638690758639272	6.429216069500459
160	170	0.15730009772093287	6.488993524118476
160	180	0.16852911634186082	6.5521825722816045
160	190	0.18008779472370007	6.618705963426297
160	200	0.19198825129929728	6.6884745593778145
160	210	0.2042407591821489	6.761387985437231
160	220	0.21685367182216964	6.837335799323733
160	230	0.2298334128637566	6.916199158351413
160	240	0.24318453163470719	6.99785292790259
160	250	0.25690982084238323	7.082168140193347
160	260	0.271010488795703	7.169014685528906
160	270	0.28548637475489846	7.258264101791458
160	280	0.3003361938730032	7.349792323425368
160	290	0.31555779722598437	7.443482258660936
160	300	0.33114843294430274	7.539226081577207
160	310	0.34710499590108385	7.63692715110477
160	320	0.3634242559905431	7.73650149884279
160	330	0.38010305771789454	7.837878858189012
160	340	0.3971384867640051	7.941003235772085
160	350	0.41452800192815964	8.045833050308103
160	360	0.432269533032757	8.152340882402214
160	370	0.45036154726418276	8.26051289149474
160	380	0.46880308746025406	8.370347961639878
160	390	0.4875937866858794	8.481856640558494
160	400	0.5067338635466165	8.595059932724288
160	410	0.526224102679441	8.709988002066174
160	420	0.5460658244646276	8.826678832666152
160	430	0.566260847525755	8.945176887650417
160	440	0.5868114470301967	9.06553179830157
160	450	0.6077203111703394	9.187797107679291
160	460	0.6289904977815818	9.312029086084408
160	470	0.6506253924146792	9.438285629720058
160	480	0.6726286688310834	9.566625248950666
160	490	0.6950042525966696	9.697106148610825
160	500	0.717756288060044	9.829785399782848
160	510	0.7408891088334124	9.964718210342873
160	520	0.7644072117575514	10.101957219156942
160	530	0.788315234211284	10.241552020843685
160	540	0.8126179345564061	10.383548520772125
160	550	0.8373201753803146	10.527988752231211
160	560	0.8624269093418908	10.674910084457727
160	570	0.8879431672917832	10.82434530781669
160	580	0.9138740483579204	10.976322158881468
160	590	0.9402247118018354	11.130863133028825
160	600	0.9670003703029408	11.287985295382844
165	0	0.	6.6021502611429375
165	10	0.009268003903519097	6.60379461192151
165	20	0.01855304970507939	6.60872809167728
165	30	0.027872179420086175	6.616951911048128
165	40	0.037242431035855166	6.62846785004909
165	50	0.0466808260262535	6.643277905308101
165	60	0.05620434483459391	6.661383804563171
165	70	0.06582988724126675	6.682786398440912
165	80	0.07557421539007589	6.707484944500808
165	90	0.08545387836204879	6.735476304616363
165	100	0.09548511855843525	6.7667540837285145
165	110	0.10568376173197062	6.801307745339547
165	120	0.11606509419084653	6.839121746051551
165	130	0.12664373237601023	6.880174737022562
165	140	0.13743349146175163	6.9244388833486745
165	150	0.1484472606972466	6.971879352074724
165	160	0.1596968936673754	7.022454015033075
165	170	0.17119312137266693	7.076113403693219
165	180	0.18294549496338597	7.132800939943256
165	190	0.19496236313364004	7.192453450129519
165	200	0.20725088677699852	7.2550019512437265
165	210	0.21981709072105055	7.320372679752833
165	220	0.23266594964056322	7.388488317211985
165	230	0.2458015027424166	7.459269354271025
165	240	0.2592269899725562	7.532635527264093
165	250	0.27294500135973804	7.608507259845763
165	260	0.2869576308933233	7.686807045935602
165	270	0.30126662681203137	7.7674607187077855
165	280	0.3158735313603328	7.850398562186553
165	290	0.3307798046656157	7.9355562356224905
165	300	0.34598692918717155	8.022875494698292
165	310	0.3614964929363118	8.112304706443428
165	320	0.37731025129225493	8.203799165584238
165	330	0.39343016852324286	8.29732122838203
165	340	0.40985844106358854	8.39284028565933
165	350	0.42659750521906625	8.490332599829905
165	360	0.443650032218796	8.589781031752787
165	370	0.4610189135668581	8.691174682017389
165	380	0.4787072395073672	8.794508470517004
165	390	0.4967182730236143	8.899782673475842
165	400	0.5150554215033378	9.007002435808223
165	410	0.533722207788638	9.116177272487368
165	420	0.5527222418816252	9.22732056991111
165	430	0.5720591943040704	9.340449095494712
165	440	0.5917367717726496	9.455582521377599
165	450	0.6117586955222757	9.572742965512054
165	460	0.6321286825687953	9.69195455677399
165	470	0.6528504298375428	9.813243014372103
165	480	0.6739276011612378	9.936635257128595
165	490	0.6953638169481997	10.062159026837604
165	500	0.7171626462918043	10.189842540873236
165	510	0.7393276012983802	10.319714156399922
165	520	0.7618621333907217	10.451802056995355
165	530	0.7847696312913715	10.586133955591073
165	540	0.8080534204781382	10.722736813292602
165	550	0.8317167638741881	10.861636572898067
165	560	0.8557628635096322	11.002857906024953
165	570	0.8801948630841954	11.146423972858077
165	580	0.9050158511244282	11.292356193640758
165	590	0.9302288646488283	11.440674031140448
165	600	0.9558368932538944	11.591394783418501
170	0	0.	7.236457760941371
170	10	0.00998528785551016	7.237981356443604
170	20	0.019986290268784648	7.2425519861212555
170	30	0.030018659690368613	7.250169124043659
170	40	0.040097922263126265	7.260831711273204
170	50	0.05023940971754916	7.2745378907953935
170	60	0.06045818610584101	7.2912846534918385
170	70	0.07076896890124396	7.311067412258886
170	80	0.08118604496701529	7.333879526093892
170	90	0.09172318297601223	7.3597118002333435
170	100	0.10239354495789492	7.388551991838412
170	110	0.11320960063844684	7.420384352818691
170	120	0.12418304898774746	7.455189241693651
170	130	0.1353247517974645	7.492942834527225
170	140	0.14664468405158038	7.533616960727239
170	150	0.15815190529299508	7.577179082932442
170	160	0.169854555141248	7.623592431679145
170	170	0.18175987463232582	7.672816295713386
170	180	0.19387425331048397	7.724806458596949
170	190	0.2062033001534619	7.779515762667298
170	200	0.2187519347303245	7.836894773437259
170	210	0.23152449357288335	7.896892511953759
170	220	0.24452484586507825	7.959457219955966
170	230	0.25775651219848916	8.02453712298343
170	240	0.2712227803226637	8.09208115961345
170	250	0.2849268125900604	8.16203965018114
170	260	0.2988717408057747	8.234364884895946
170	270	0.3130607455039177	8.309011618400463
170	280	0.3274971180454507	8.385937464771194
170	290	0.3421843051398991	8.465103193141802
170	300	0.35712593652948926	8.546472929142437
170	310	0.3723258373629597	8.630014271006537
170	320	0.38778802737402757	8.715698331493154
170	330	0.4035167092629934	8.803499717840866
170	340	0.41951624879818583	8.893396462022478
170	350	0.4357911490072157	8.98536991286444
170	360	0.45234602063134305	9.07940460038169
170	370	0.46918555077035434	9.175488081183317
170	380	0.4863144711629595	9.273610772209171
170	390	0.5037375274324858	9.373765778499804
170	400	0.5214594500934924	9.475948719271466
170	410	0.5394849279930629	9.580157555319348
170	420	0.5578185845422122	9.68639241972736
170	430	0.5764649569397656	9.794655453393853
170	440	0.5954284784113527	9.904950643381527
170	450	0.6147134634120003	10.017283671214095
170	460	0.6343240956000913	10.131661759500192
170	470	0.6542644184212287	10.24809352713175
170	480	0.6745383280633636	10.36658884622045
170	490	0.6951495684914852	10.487158702031628
170	500	0.7161017283954508	10.609815054937995
170	510	0.7373982397294145	10.73457070372168
170	520	0.7590423776684232	10.861439149615464
170	530	0.7810372617668339	10.990434460549086
170	540	0.8033858581422967	11.121571135151143
170	550	0.8260909824396209	11.254863966142123
170	560	0.8491553035740261	11.39032790283644
170	570	0.8725813479591172	11.527977912552986
170	580	0.8963715042113086	11.667828840803347
170	590	0.9205280282069518	11.809895270195858
170	600	0.9450530483921669	11.954191378050812
175	0	0.	7.842884517252431
175	10	0.010566062638801086	7.8443137655745625
175	20	0.021146087223662707	7.848600776646952
175	30	0.03175393869683461	7.855743320520486
175	40	0.042403288474766036	7.865737588762792
175	50	0.053107519087555094	7.878578064859249
175	60	0.06387963102263973	7.894257358660013
175	70	0.07473215330189403	7.912766019657687
175	80	0.08567705984181373	7.934092346519771
175	90	0.09672569412896091	7.9582222117582075
175	100	0.1078887050777245	7.985138920489051
175	110	0.11917599706033254	8.01482312079755
