phi3 		phi8 		V[GeV^4]
0.83333	1.29904	-3.15724E-4
0.83333	1.44338	-6.06271E-4
0.83333	1.58771	-4.96394E-4
0.83333	1.73205	-6.78682E-4
0.91667	-1.73205	-2.99259E-4
0.91667	-1.58771	-4.74407E-4
0.91667	-1.44338	-5.42869E-4
0.91667	-1.29904	-1.38964E-4
0.91667	-1.1547	9.65122E-5
0.91667	-1.01036	-1.22256E-4
0.91667	-0.86603	-5.09513E-4
0.91667	-0.72169	-4.24519E-4
0.91667	-0.57735	-3.54409E-4
0.91667	-0.43301	-4.15931E-4
0.91667	-0.28868	-4.92366E-4
0.91667	-0.14434	-9.66082E-5
0.91667	0		1.30572E-4
0.91667	0.14434	-9.66082E-5
0.91667	0.28868	-4.92366E-4
0.91667	0.43301	-4.15931E-4
0.91667	0.57735	-3.54409E-4
0.91667	0.72169	-4.24519E-4
0.91667	0.86603	-5.09513E-4
0.91667	1.01036	-1.22256E-4
0.91667	1.1547	9.65122E-5
0.91667	1.29904	-1.38964E-4
0.91667	1.44338	-5.42869E-4
0.91667	1.58771	-4.74407E-4
0.91667	1.73205	-2.99259E-4
1		-1.73205	-3.36103E-17
1		-1.58771	-3.62565E-4
1		-1.44338	-4.15409E-4
1		-1.29904	2.77534E-5
1		-1.1547	2.80798E-4
1		-1.01036	4.4386E-5
1		-0.86603	-3.82202E-4
1		-0.72169	-3.12903E-4
1		-0.57735	-5.54495E-5
1		-0.43301	-3.04352E-4
1		-0.28868	-3.6513E-4
1		-0.14434	6.99215E-5
1		0		3.14709E-4
1		0.14434	6.99215E-5
1		0.28868	-3.6513E-4
1		0.43301	-3.04352E-4
1		0.57735	-5.54495E-5
1		0.72169	-3.12903E-4
1		0.86603	-3.82202E-4
1		1.01036	4.4386E-5
1		1.1547	2.80798E-4
1		1.29904	2.77534E-5
1		1.44338	-4.15409E-4
1		1.58771	-3.62565E-4
1		1.73205	-4.41812E-17
